"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.50013354356544,0.499974803876096,0.48929744094816,50000,0.95,0.355615375413583,0.644563973153077,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.571285491637406,0.577802199213501,0.586074901863217,50000,0.95,0.236339847310027,0.896402210072071,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.300000197251392,0.287073568742809,0.267532545239436,50000,0.95,0.0498527709790358,0.560613528497907,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.0711519480719662,-0.0773501522384717,-0.0896257429636975,50000,0.95,-0.420564977045019,0.30475446522696,0,35.634,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.200133346314048,0.210911518385618,0.233069767072062,50000,0.95,-0.11612951947385,0.481010492334798,0,89.08,NA,NA,NA,NA,NA
"theta[2]-theta[3]",0.271285294386014,0.27886469630745,0.327294369897928,50000,0.95,-0.150063117802323,0.705974439001984,0,88.152,NA,NA,NA,NA,NA
