"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.4996410447765,0.5003195,0.507948404870875,20000,0.95,0.239181,0.766339,0.5,50.2,NA,NA,NA,NA,NA
"kappa",10.7024290815,9.255075,5.96166106706426,19610.1,0.95,2.0003,23.4272,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.3179228917,0.3168815,0.310061189090363,20000,0.95,0.230045,0.408743,0.5,0.01,NA,NA,NA,NA,NA
"theta[2]",0.40946209635,0.4087055,0.403237027438611,20000,0.95,0.317191,0.501578,0.5,3.055,NA,NA,NA,NA,NA
"theta[3]",0.50001170835,0.5001225,0.501289893079646,20496.2,0.95,0.407246,0.594164,0.5,50.1,NA,NA,NA,NA,NA
"theta[4]",0.59031587435,0.590463,0.593689145979997,20000,0.95,0.496305,0.682221,0.5,97.04,NA,NA,NA,NA,NA
"theta[5]",0.68132337655,0.6823365,0.684548555812424,20000,0.95,0.588044,0.765835,0.5,99.995,NA,NA,NA,NA,NA
